station_name,address,latitude,longitude,capacity_kw,total_chargers,slow_chargers,fast_chargers,outlet_chargers
서울시 본관청사,서울 중구 세종대로 110(서울특별시청),37.5663174209601,126.977829174031,200,4,0,4,0
서소문청사(지하주차장),서울 중구 덕수궁길 15(서울시청 서소문별관),37.564399842747164,126.97517245351972,207,5,1,4,0
서소문청사(후생동),서울 중구 덕수궁길 15(서울시청 서소문별관),37.56456633808105,126.97428953849634,7,1,1,0,0
양재솔라스테이션,서울 서초구 바우뫼로12길 73(현대기아차 그린에너지 스테이션),37.46792238119916,127.03473758547474,700,12,0,12,0
성동구청,서울 성동구 고산자로 270(성동구청),37.563063274498184,127.03670019624963,50,1,0,1,0
성동구 마장동 거주자우선주차장 가로등형 충전기,서울시 성동구 마장동 812,37.565099,127.039458,50,1,0,1,0
망우제2 거주자주차장,서울 중랑구 망우로71길 53,37.60315526526315,127.10186439687882,50,1,0,1,0
서대문구청 주차장,서울 서대문구 연희로 248(서대문구청),37.5791546257808,126.936759175119,50,1,0,1,0
동작구청,서울 동작구 장승배기로 161(동작구청),37.512223580132115,126.93956071006103,50,1,0,1,0
복정역 공영주차장,서울 송파구 송파대로 지하 6(복정역),37.47016464977081,127.12809087478361,50,2,0,2,0
남산청사,서울 중구 삼일대로 231(서울시청 남산별관),37.5556326132925,126.992217614712,14,2,2,0,0
개화산역 공영주차장,서울 강서구 양천로 22(개화산역),37.57242216010286,126.80482797179889,650,7,0,7,0
가산 공영주차장,서울 금천구 시흥대로153길 53(가산동 공영주차장),37.4766770098794,126.895579178324,50,1,0,1,0
남부초 공영주차장,서울 관악구 남부순환로163길 14(서울남부초등학교),37.4851194359099,126.922183775699,50,1,0,1,0
